"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
52,"200000","  2.0","100000"," -5.000","Steep","Medium","Medium","Gag groups","Mortality and foraging","12KIKubDV6apzIVdTD6cos4u_AnfIGRIq","1UjdNLnQ1SCnae0NB3ZXQyqBpaei7XUqx"
53,"200000","200.0","150000"," -7.500","Flat","Medium","Low","Gag groups","Mortality and foraging","13i6Z_hifrjdAFQ8qKRR6tfKrDBDQOt85","1YCQMIAw2lyirqc_Ozq_-CeluEENqrUCY"
54,"200000"," 10.0","150000"," -7.500","Medium flat","Medium","Low","Gag groups","Mortality and foraging","14GRuXnvsxI1vcCPlvxsINBTEt1Haa4ML","1S_SPpmndjShUGYrm8S8m1W_Ntkb2ieQj"
55,"200000","  4.0","150000"," -7.500","Medium steep","Medium","Low","Gag groups","Mortality and foraging","1HINxs34bRJD1Y6cHn3Q_98-ZWDtCXTpU","1RoSqSybYeGVZcD0wsaXMVd8nDR7UrOft"
56,"200000","  2.0","150000"," -7.500","Steep","Medium","Low","Gag groups","Mortality and foraging","19FUUBgHYH3W6BacoWy0X2m3mWJP3ERY6","1azwmQFxNUb7_jP-XVaVeH190D3W7YCz7"
57,"100000","100.0"," 25000"," -1.250","Flat","Medium high","High","Gag groups","Mortality and foraging","1zVi5oKXkvZRam9HHgmKOf29H01bdDpun","1yPBmwutmv68Mjv6QrdSSEibBuU9AmWm4"
58,"100000","  5.0"," 25000"," -1.250","Medium flat","Medium high","High","Gag groups","Mortality and foraging","1b9Q1DvwEWKhxjO51Qdbq3hNZHGfNlrQv","1ZN0Mp9xrWnSe2EEbSgkre6XUr1_lwWxY"
59,"100000","  2.0"," 25000"," -1.250","Medium steep","Medium high","High","Gag groups","Mortality and foraging","1ACyDQ4L1RjGot6SyW56BTF8loRr7OJsB","1fRrSu1WuTI-QndqKlDQ_Z1J8LgU9IbSq"
60,"100000","  1.0"," 25000"," -1.250","Steep","Medium high","High","Gag groups","Mortality and foraging","1DRwjegA6d18tcY4TqQ5nFNIrff7sFoWp","1Lbz3IVJfpLkuofLaKBylIuvmKciwyB0b"
61,"100000","100.0"," 50000"," -2.500","Flat","Medium high","Medium","Gag groups","Mortality and foraging","1a6csfPpseiYmWSbW53M_9LBN7rkYi2bn","17ZfQk_dwNEropt6_APQYq37Za5l5IUFq"
62,"100000","  5.0"," 50000"," -2.500","Medium flat","Medium high","Medium","Gag groups","Mortality and foraging","1iWYjrTAPOIpCIv-M1Q7dI9j5h5t2g5Vg","1nUx9xT0qq6S50BKKSxv0PMz-UFppGWbJ"
63,"100000","  2.0"," 50000"," -2.500","Medium steep","Medium high","Medium","Gag groups","Mortality and foraging","1k5OjSk2OGHTM9e_GWECeqisnQXkqhH5f","1FmVQug1nKhqyZjyGc0qjX_PBcLe9wfg4"
64,"100000","  1.0"," 50000"," -2.500","Steep","Medium high","Medium","Gag groups","Mortality and foraging","1hJQrWwK0XAPc3wEyEQD6_H5kWFhYx4rF","1GMiWdcLmDOwXTIh7zogkNQlfzMkGuGhV"
65,"100000","100.0"," 75000"," -3.750","Flat","Medium high","Low","Gag groups","Mortality and foraging","1RtbNkeyyxfMK0lAdi4mefs0yPGtUD1IT","1up-g83650VrKcpQaGig1KpIpyD9ZgEA8"
66,"100000","  5.0"," 75000"," -3.750","Medium flat","Medium high","Low","Gag groups","Mortality and foraging","1jKhP29IDGtnNaf9T2Jmb7NDKG-8K8no5","1BgX4cCvpG312_3xwhwqS6kiYoSprShvk"
67,"100000","  2.0"," 75000"," -3.750","Medium steep","Medium high","Low","Gag groups","Mortality and foraging","1R7MVn7_m6uUGebTgFglbe8zZ8La5rNSF","1SktFxfWe3S92KF3ctzwflhGVdkMVvKEr"
68,"100000","  1.0"," 75000"," -3.750","Steep","Medium high","Low","Gag groups","Mortality and foraging","1KSH_ouIfR6wYabejQwGg3S6i6y4p_o24","1k6oy1neUQDsRGTQyqrKqJL_VVefLAR9C"
69,"300000","300.0"," 75000"," -3.750","Flat","Medium low","High","Gag groups","Mortality and foraging","1hoXWprvVD_w8TJIKqQNGLt8C1lcZQ74t","1kdJdH4KjHMyX4ufDGkaSavRhi7VFAJtL"
70,"300000"," 15.0"," 75000"," -3.750","Medium flat","Medium low","High","Gag groups","Mortality and foraging","1o1Kyn5e5RCe_XGmuq870icd4bPCv12xx","12KxtYQivmw91RzkuGSzr-8VCajRyspCN"
71,"300000","  6.0"," 75000"," -3.750","Medium steep","Medium low","High","Gag groups","Mortality and foraging","1TniEhkn0YTdcMEaj2yHCvJSp8Ce1Lva0","1SBYoxXbuLHy9JSDDHnPFfuMyaQNCEa47"
72,"300000","  3.0"," 75000"," -3.750","Steep","Medium low","High","Gag groups","Mortality and foraging","1lE0PpQGO1BPZQKgv3Jhr_hBP39Ogtevj","1TmDMzqO5MAnz9I3YplUexP7BVovcKx8Y"
